fy,dept,dept_name,acct,acct_name,act_y3,act_y2,orig_y1,rev_y1,est_comm,est_standing,est_board,fy_act_y3,fy_act_y2,fy_y1
2013-14,325,Branch Sewage Pumping Station,64505,STP Vasna/Pirana,0.00,0.07,670.00,300.00,400.00,400.00,,2010-11,2011-12,2012-13
2013-14,325,Branch Sewage Pumping Station,64511,100% cost drainage pipe line soc/GHB,0.00,0.00,5.00,5.00,5.00,5.00,,2010-11,2011-12,2012-13
2013-14,325,Branch Sewage Pumping Station,64513,25% cost drainage pipe line soc/GHB,0.59,2.31,20.00,10.00,10.00,10.00,,2010-11,2011-12,2012-13
2013-14,325,Branch Sewage Pumping Station,64514,15% cost drainage pipe line soc/GHB,5.92,12.34,20.00,40.00,20.00,20.00,,2010-11,2011-12,2012-13
2013-14,371,,78313,Drainage facility in chalis & slums,0.00,0.00,600.00,100.00,300.00,300.00,,2010-11,2011-12,2012-13
2013-14,951,Water Project,TOTAL,Water Project - department total,6552.87,2426.19,8487.00,1795.00,9235.00,10035.00,,2010-11,2011-12,2012-13
2013-14,951,Water Project,64505,STP Vasna/Pirana,0.00,0.00,71.57,0.00,0.00,0.00,,2010-11,2011-12,2012-13
2013-14,951,Water Project,64518,Drainage Project,2293.48,3144.47,7871.31,2505.00,9425.00,10225.00,,2010-11,2011-12,2012-13
2013-14,952,Drainage Project,TOTAL,Drainage Project - department total,2339.91,3208.57,8162.88,2615.05,9540.00,10540.00,,2010-11,2011-12,2012-13
2013-14,953,,64518,Drainage Project,0.00,0.00,70.00,0.00,0.00,0.00,,2010-11,2011-12,2012-13
2013-14,962,Zonal Capital Works,64507,Drainage - General,1446.57,1656.79,3522.97,1875.64,3604.05,3899.05,,2010-11,2011-12,2012-13
2013-14,962,Zonal Capital Works,64509,Storm Water Drain - General,478.84,462.24,1640.38,625.60,1034.71,1034.71,,2010-11,2011-12,2012-13
2013-14,962,Zonal Capital Works,78313,Drainage facility in chalis & slums,281.80,96.65,252.69,147.42,147.00,147.00,,2010-11,2011-12,2012-13
2013-14,962,Zonal Capital Works,TOTAL,Zonal Capital Works - department total,22369.85,17705.43,38200.00,23600.00,35200.00,37700.00,,2010-11,2011-12,2012-13
2013-14,967,JNNURM Project,64505,STP Vasna/Pirana,576.89,244.26,100.00,100.00,100.00,100.00,,2010-11,2011-12,2012-13
2013-14,967,JNNURM Project,64509,Storm Water Drain - General,5543.38,754.47,300.00,582.26,200.00,200.00,,2010-11,2011-12,2012-13
2013-14,967,JNNURM Project,64518,Drainage Project,11468.57,7381.52,8000.00,4500.00,4000.00,4000.00,,2010-11,2011-12,2012-13
2013-14,968,,64505,STP Vasna/Pirana,87.01,27.12,0.00,10.00,10.00,10.00,,2010-11,2011-12,2012-13
2013-14,968,,64507,Drainage - General,43.35,0.00,0.00,75.00,25.00,25.00,,2010-11,2011-12,2012-13
2013-14,968,,64509,Storm Water Drain - General,0.00,0.00,0.00,500.00,500.00,500.00,,2010-11,2011-12,2012-13
2013-14,968,,64518,Drainage Project,740.40,407.57,7700.00,5000.00,6000.00,6000.00,,2010-11,2011-12,2012-13
2013-14,968,,78313,Drainage facility in chalis & slums,77.40,167.47,50.00,70.00,70.00,70.00,,2010-11,2011-12,2012-13
2013-14,952,Drainage Project,TOTAL,Drainage Project - department total,39.26,0.00,0.00,0.00,0.00,0.00,,2010-11,2011-12,2012-13
2014-15,325,Branch Sewage Pumping Station,64505,STP Vasna/Pirana,0.07,91.42,400.00,350.00,500.00,500.00,500.00,2011-12,2012-13,2013-14
2014-15,325,Branch Sewage Pumping Station,64511,100% cost drainage pipe line soc/GHB,0.00,0.48,5.00,2.00,0.00,0.00,0.00,2011-12,2012-13,2013-14
2014-15,325,Branch Sewage Pumping Station,64513,25% cost drainage pipe line soc/GHB,2.31,21.40,10.00,25.00,0.00,0.00,0.00,2011-12,2012-13,2013-14
2014-15,325,Branch Sewage Pumping Station,64514,15% cost drainage pipe line soc/GHB,12.34,37.31,20.00,110.00,0.00,0.00,0.00,2011-12,2012-13,2013-14
2014-15,371,,78313,Drainage facility in chalis & slums,0.00,0.00,300.00,0.00,0.00,0.00,0.00,2011-12,2012-13,2013-14
2014-15,951,Water Project,TOTAL,Water Project - department total,2426.19,4547.67,10035.00,6150.00,4700.00,4900.00,4900.00,2011-12,2012-13,2013-14
2014-15,951,Water Project,64505,STP Vasna/Pirana,0.00,0.00,0.00,0.00,71.57,71.57,71.57,2011-12,2012-13,2013-14
2014-15,951,Water Project,64509,Storm Water Drain - General,0.00,0.00,0.00,700.00,0.00,500.00,500.00,2011-12,2012-13,2013-14
2014-15,951,Water Project,64518,Drainage Project,3144.47,3409.97,10225.00,6213.00,5828.43,8028.43,8028.43,2011-12,2012-13,2013-14
2014-15,952,Drainage Project,TOTAL,Drainage Project - department total,3208.57,3464.15,10540.00,6963.00,6000.00,8700.00,8700.00,2011-12,2012-13,2013-14
2014-15,962,Zonal Capital Works,64507,Drainage - General,1656.79,2068.47,3899.05,2766.84,4091.07,4766.07,4766.07,2011-12,2012-13,2013-14
2014-15,962,Zonal Capital Works,64509,Storm Water Drain - General,462.24,707.27,1034.71,797.06,1054.25,1354.25,1354.25,2011-12,2012-13,2013-14
2014-15,962,Zonal Capital Works,78313,Drainage facility in chalis & slums,96.65,116.36,147.00,201.51,218.34,218.34,218.34,2011-12,2012-13,2013-14
2014-15,962,Zonal Capital Works,TOTAL,Zonal Capital Works - department total,17705.43,23645.25,37700.00,23600.00,32000.00,35930.00,35930.00,2011-12,2012-13,2013-14
2014-15,967,JNNURM Project,64505,STP Vasna/Pirana,244.26,0.00,100.00,100.00,10000.00,10000.00,10000.00,2011-12,2012-13,2013-14
2014-15,967,JNNURM Project,64509,Storm Water Drain - General,754.47,282.01,200.00,200.00,0.00,0.00,0.00,2011-12,2012-13,2013-14
2014-15,967,JNNURM Project,64518,Drainage Project,7381.52,3762.28,4000.00,5500.00,4540.00,4540.00,4540.00,2011-12,2012-13,2013-14
2014-15,968,,64505,STP Vasna/Pirana,27.12,9.00,10.00,10.00,2500.00,2500.00,2500.00,2011-12,2012-13,2013-14
2014-15,968,,64507,Drainage - General,0.00,170.79,25.00,300.00,100.00,100.00,100.00,2011-12,2012-13,2013-14
2014-15,968,,64509,Storm Water Drain - General,0.00,12.56,500.00,800.00,1000.00,1000.00,1000.00,2011-12,2012-13,2013-14
2014-15,968,,64518,Drainage Project,407.57,2993.77,6000.00,2200.00,7500.00,7500.00,7500.00,2011-12,2012-13,2013-14
2014-15,968,,78313,Drainage facility in chalis & slums,167.47,53.91,70.00,0.00,50.00,50.00,50.00,2011-12,2012-13,2013-14
2015-16,325,Branch Sewage Pumping Station,64505,STP Vasna/Pirana,91.42,179.31,500.00,239.00,1738.50,1738.50,1738.50,2012-13,2013-14,2014-15
2015-16,325,Branch Sewage Pumping Station,64511,100% cost drainage pipe line soc/GHB,0.48,0.24,0.00,0.00,0.00,0.00,0.00,2012-13,2013-14,2014-15
2015-16,325,Branch Sewage Pumping Station,64513,25% cost drainage pipe line soc/GHB,21.40,9.16,0.00,0.00,0.00,0.00,0.00,2012-13,2013-14,2014-15
2015-16,325,Branch Sewage Pumping Station,64514,15% cost drainage pipe line soc/GHB,37.31,131.58,0.00,10.00,0.00,0.00,0.00,2012-13,2013-14,2014-15
2015-16,371,,78313,Drainage facility in chalis & slums,0.00,0.00,0.00,0.00,0.00,100.00,100.00,2012-13,2013-14,2014-15
2015-16,951,Water Project,TOTAL,Water Project - department total,4547.67,5973.78,4900.00,7548.27,9871.60,10821.60,10821.60,2012-13,2013-14,2014-15
