fy,ward,rs_crore,raw
2013-14,Ramol-Hathijan,0.8,        …qðo Ítu™ 3    htbtuj nt&esK Jtuzobtk swœt swœt MbNtl d]n heltuJuNl btxu Yt.80.00 jtFle Vt¤JKe fhJtbtk ytJuj Au. 3    rlftuj Jtuzob
2013-14,Lambha,1.63,3    lJt mbtÂJÐ ÂJM<th jtkCt Jtuzobtk mlu 2013-14 btk swœt swœt ÂJM<thbtk zu[lus <&t Mx[tub Jtuxh zu[luslt ftbtu btxu Yt.163.00 jtFlwk «turJ
2014-15,Nava Vadaj,1.0,ntuE lJe cuXf ÔgJM&t fhJtle &tg Au. su&e yk>h lJe ftvuox vK fhJtle &tg Au. yt Wvhtk< yt ntujbtk z[ulus meMxb Mþ^the xtuEjux çjtuf vK heltuJu
2014-15,Danilimda,0.5,P      œrûtK Ítul œtKejebzt Jtuzobtk fuvexj csux nuX¤ œtKejebzt vkved &e Ntn ytj œhJtÍ mw^ele 900 yub.yub.ztgt le z[ulus jtRl ltkFJt btxu `.
2014-15,Danilimda,2.0,P      œÂûtK Ítullt œtKejebzt Jtuzobtk hmwjtctœ rbÕj<ldh <&t mJuo lk.32 le z[ulus jtRl rhzeÍtRl fhJtlt ftb btxu `.2.00 fhtuzle Vt¤JKe fhJtbt
2014-15,Thaltej,1.8,P      lJt vrùbÍtulbtk &j<us Jtuzobtk Mx[tub Jtuxh z[ulus jtEl ltkFJt btxu `.1.80 fhtuzLþk ytgtusl fhuj Au.
2014-15,Nava Vadaj,11.0,ybœtJtœ Nnuhlt yuf rmbtranTl Yv xtdtuh ntujbtk J»to 2013-14 btk `.11.00 fhtuzlt Faou lrJlefhK ylu çgwxeVefuNllwk ftb vwKo fhJtbtk ytJuj Au. 
2016-17,Kalupur,3.0,{æÞ Ítu™ Yt.3.00 fhtuzlt Fauo htgFz Jtuzobtk jtj >hJtò MltltdthLþk y¼<l MþrJ^tGþ¾< heltuJuNl fhJtle ftbdehe ÃËKo fhJtbtk ytJuj Au. MþJKo ßgk
2016-17,Sabarmati,10.68,…rù{ Ítu™ vrùb Ítulbtk Ítulj csuxbtk Vt¤Juj Mvu~gj «tusu¾x yk<do< lth½þÃþht Jtuzobtk Jh>tl xtJh <&t <ule ytm-vtmlt d{elcuÕx rJM<thbtk buEl h
2016-17,Chandkheda,0.5,"lthKvwht Jtuzobtk ntWm´d Jmtn<,xe.ve.htuz <&t dtb<¤ rJM<thbtk htuz hemhVum fhJtlt ftb btxu Yt.50.00 jtF le Vt¤JKe fhJtbtk ytJuj Au. atkœFuzt"
