fy,Central,North,South,East,West,North West,South West,New West,zones_total
2016-17,7.31,14.4,13.86,10.42,7.57,,,14.55,68.11
2017-18,7.89,14.4,16.52,11.72,7.01,,,13.7362,71.28
2018-19,13.85,15.36,19.23,14.34,8.55,,,18.0,89.33
2019-20,10.9,22.84,17.15,17.68,8.55,10.45,5.3,,92.87
2020-21,14.34,16.68,23.77,19.58,15.62,12.61,11.44,,114.04
2021-22,15.41,21.52,20.47,19.12,16.92,13.63,9.0,,116.07
2022-23,15.05,18.82,21.88,19.15,12.24,11.38,11.65,,110.17
2023-24,8.91,13.98,7.85,7.27,4.15,9.38,12.71,,64.25
2024-25,10.5,17.32,22.87,19.46,25.65,23.24,7.43,,126.47
2025-26,20.0,18.0,12.5,15.5,38.0,20.0,8.5,,132.5
2026-27,26.75,23.56,34.95,44.78,25.66,40.0,24.76,,220.46
