fy,zone,unit,line,base_road,base_water,base_drainage,base_bldg,base_total,spl_drainage,spl_total,tot_drainage,tot_total,drain_crore,total_crore
2016-17,Central,lakh,3557,635.00,182.00,331.00,229.00,1377.00,400.00,1950.00,731.00,3327.00,7.31,33.27
2016-17,West,lakh,3563,1067.00,355.00,307.00,250.00,1979.00,450.00,2721.00,757.00,4700.00,7.57,47.0
2016-17,North,lakh,3569,1278.00,504.00,640.00,185.00,2607.00,800.00,3700.00,1440.00,6307.00,14.4,63.07
2016-17,South,lakh,3575,925.00,433.00,636.00,469.00,2463.00,750.00,3500.00,1386.00,5963.00,13.86,59.63
2016-17,East,lakh,3581,1630.00,499.00,442.00,392.00,2963.00,600.00,3300.00,1042.00,6263.00,10.42,62.63
2016-17,New West,lakh,3587,1574.00,345.00,655.00,175.00,2749.00,800.00,4400.00,1455.00,7149.00,14.55,71.49
2017-18,Central,lakh,3858,791.20,205.00,389.00,472.50,1857.70,400.00,1700.00,789.00,3557.70,7.89,35.577
2017-18,West,lakh,3864,1165.00,477.00,301.00,350.00,2293.00,400.00,2400.00,701.00,4693.00,7.01,46.93
2017-18,North,lakh,3870,1550.00,300.00,640.00,369.00,2859.00,800.00,3600.00,1440.00,6459.00,14.4,64.59
2017-18,South,lakh,3876,1403.00,442.00,1002.00,402.00,3249.00,650.00,3200.00,1652.00,6449.00,16.52,64.49
2017-18,East,lakh,3882,1712.50,576.72,572.00,493.00,3354.22,600.00,3000.00,1172.00,6354.22,11.72,63.5422
2017-18,New West,lakh,3888,2248.34,201.99,473.62,65.00,2988.95,900.00,4300.00,1373.62,7288.95,13.7362,72.8895
2018-19,Central,crore,4138,6.00,3.00,8.35,4.15,21.50,5.50,16.00,13.85,37.50,13.85,37.5
2018-19,North,crore,4144,9.01,5.73,5.36,2.40,22.50,10.00,32.00,15.36,54.50,15.36,54.5
2018-19,South,crore,4150,12.70,6.35,12.23,5.00,36.28,7.00,25.00,19.23,61.28,19.23,61.28
2018-19,East,crore,4156,18.16,5.71,7.34,6.80,38.01,7.00,28.00,14.34,66.01,14.34,66.01
2018-19,West,crore,4162,13.60,4.75,4.05,4.39,26.79,4.50,20.00,8.55,46.79,8.55,46.79
2018-19,New West,crore,4168,23.01,2.50,8.00,2.20,35.71,10.00,43.00,18.00,78.71,18.0,78.71
2019-20,Central,crore,3853,6.60,2.40,5.40,6.20,20.60,5.50,18.00,10.90,38.60,10.9,38.6
2019-20,North,crore,3858,14.55,6.03,10.84,4.94,36.36,12.00,43.00,22.84,79.36,22.84,79.36
2019-20,South,crore,3863,18.25,5.72,10.15,4.51,38.63,7.00,38.00,17.15,76.63,17.15,76.63
2019-20,East,crore,3868,18.64,6.41,9.68,5.75,40.48,8.00,39.00,17.68,79.48,17.68,79.48
2019-20,West,crore,3873,17.02,4.70,4.55,3.65,29.92,4.00,26.00,8.55,55.92,8.55,55.92
2019-20,North West,crore,3878,14.47,2.04,5.45,1.61,23.57,5.00,29.00,10.45,52.57,10.45,52.57
2019-20,South West,crore,3883,18.46,1.55,1.30,0.90,22.21,4.00,21.00,5.30,43.21,5.3,43.21
2020-21,Central,crore,3954,7.70,4.65,6.84,7.81,27.00,7.50,26.50,14.34,53.50,14.34,53.5
2020-21,North,crore,3959,24.11,4.87,7.68,10.34,47.00,9.00,37.50,16.68,84.50,16.68,84.5
2020-21,South,crore,3964,23.72,7.40,14.27,9.61,55.00,9.50,37.00,23.77,92.00,23.77,92.0
2020-21,East,crore,3969,27.17,7.29,10.58,4.96,50.00,9.00,39.50,19.58,89.50,19.58,89.5
2020-21,West,crore,3974,18.07,5.00,7.12,3.81,34.00,8.50,40.00,15.62,74.00,15.62,74.0
2020-21,North West,crore,3979,17.20,2.70,6.61,3.49,30.00,6.00,25.50,12.61,55.50,12.61,55.5
2020-21,South West,crore,3984,17.42,1.40,5.94,0.24,25.00,5.50,26.00,11.44,51.00,11.44,51.0
2021-22,Central,crore,3397,14.32,3.50,7.91,7.27,33.00,7.50,22.00,15.41,55.00,15.41,55.0
2021-22,North,crore,3402,19.57,5.75,12.52,14.16,52.00,9.00,35.00,21.52,87.00,21.52,87.0
2021-22,South,crore,3407,27.23,9.22,14.47,9.08,60.00,6.00,28.00,20.47,88.00,20.47,88.0
2021-22,East,crore,3412,31.97,8.25,10.12,4.66,55.00,9.00,35.00,19.12,90.00,19.12,90.0
2021-22,West,crore,3417,20.15,3.86,7.92,6.07,38.00,9.00,35.00,16.92,73.00,16.92,73.0
2021-22,North West,crore,3422,18.41,3.70,7.63,3.26,33.00,6.00,22.00,13.63,55.00,13.63,55.0
2021-22,South West,crore,3427,18.60,1.60,4.50,6.30,31.00,4.50,21.00,9.00,52.00,9.0,52.0
2022-23,Central,crore,3898,12.85,3.63,9.05,7.55,33.08,6.00,22.35,15.05,55.43,15.05,55.43
2022-23,North,crore,3903,23.52,6.96,12.82,10.70,54.00,6.00,25.00,18.82,79.00,18.82,79.0
2022-23,South,crore,3908,25.76,7.08,14.88,4.28,52.00,7.00,29.00,21.88,81.00,21.88,81.0
2022-23,East,crore,3913,28.39,9.01,12.65,9.01,59.06,6.50,30.00,19.15,89.06,19.15,89.06
2022-23,West,crore,3918,16.88,5.97,7.24,6.11,36.20,5.00,27.50,12.24,63.70,12.24,63.7
2022-23,North West,crore,3923,19.35,4.21,7.38,1.95,32.89,4.00,20.00,11.38,52.89,11.38,52.89
2022-23,South West,crore,3928,16.10,1.85,7.50,1.05,26.50,4.15,22.00,11.65,48.50,11.65,48.5
2023-24,Central,crore,4855,13.82,3.79,8.91,5.15,31.67,,,,,8.91,31.67
2023-24,North,crore,4860,18.69,5.16,13.98,5.62,43.45,,,,,13.98,43.45
2023-24,South,crore,4865,9.14,5.23,7.85,2.78,25.00,,,,,7.85,25.0
2023-24,East,crore,4870,16.36,7.06,7.27,5.09,35.78,,,,,7.27,35.78
2023-24,West,crore,4875,23.82,4.18,4.15,6.15,38.30,,,,,4.15,38.3
2023-24,North West,crore,4880,27.17,2.95,9.38,3.10,42.60,,,,,9.38,42.6
2023-24,South West,crore,4885,16.80,2.00,12.71,4.90,36.41,,,,,12.71,36.41
2024-25,Central,crore,4454,20.97,4.53,10.50,21.31,57.31,,,,,10.5,57.31
2024-25,North,crore,4458,26.53,9.95,17.32,31.66,85.46,,,,,17.32,85.46
2024-25,South,crore,4462,28.38,13.85,22.87,33.56,98.66,,,,,22.87,98.66
2024-25,East,crore,4467,46.28,11.86,19.46,22.40,100.00,,,,,19.46,100.0
2024-25,West,crore,4472,47.80,13.05,25.65,19.15,105.65,,,,,25.65,105.65
2024-25,North West,crore,4477,46.13,3.61,23.24,25.25,98.23,,,,,23.24,98.23
2024-25,South West,crore,4482,34.01,2.35,7.43,38.35,82.14,,,,,7.43,82.14
2025-26,Central,crore,5110,30.00,9.00,20.00,36.00,95.00,,,,,20.0,95.0
2025-26,North,crore,5114,50.00,2.83,18.00,41.67,112.50,,,,,18.0,112.5
2025-26,South,crore,5118,50.00,6.85,12.50,43.15,112.50,,,,,12.5,112.5
2025-26,East,crore,5123,46.20,11.00,15.50,52.30,125.00,,,,,15.5,125.0
2025-26,West,crore,5128,55.00,18.50,38.00,23.50,135.00,,,,,38.0,135.0
2025-26,North West,crore,5133,107.25,7.00,20.00,90.75,225.00,,,,,20.0,225.0
2025-26,South West,crore,5138,90.50,7.00,8.50,89.00,195.00,,,,,8.5,195.0
2026-27,Central,crore,4714,40.48,10.00,26.75,27.77,105.00,,,,,26.75,105.0
2026-27,North,crore,4719,41.58,9.87,23.56,49.99,125.00,,,,,23.56,125.0
2026-27,South,crore,4724,36.27,15.02,34.95,54.30,140.54,,,,,34.95,140.54
2026-27,East,crore,4729,53.33,14.41,44.78,27.48,140.00,,,,,44.78,140.0
2026-27,West,crore,4734,45.06,9.26,25.66,70.13,150.11,,,,,25.66,150.11
2026-27,North West,crore,4739,106.25,10.00,40.00,119.00,275.25,,,,,40.0,275.25
2026-27,South West,crore,4744,86.87,5.00,24.76,60.32,176.75,,,,,24.76,176.75
