zone_no,zone_name,zone_code,fiscal_year,measure,amount_rs_thousand,amount_rs_lakh,line_present_in_book,source_book,source_page,source_url
I,Thiruvottiyur,NA,2011-2012,ACTUAL,0,0.00,yes,bb2013-14.pdf,47,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
II,Manali,NB,2011-2012,ACTUAL,0,0.00,yes,bb2013-14.pdf,48,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
III,Madhavaram,NC,2011-2012,ACTUAL,1245,12.45,yes,bb2013-14.pdf,49,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
IV,Tondiarpet,ND,2011-2012,ACTUAL,0,0.00,yes,bb2013-14.pdf,50,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
V,Royapuram,NE,2011-2012,ACTUAL,0,0.00,yes,bb2013-14.pdf,51,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
VI,Thiru-Vi-Ka Nagar,NF,2011-2012,ACTUAL,0,0.00,yes,bb2013-14.pdf,52,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
VII,Ambattur,NG,2011-2012,ACTUAL,0,0.00,yes,bb2013-14.pdf,53,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
VIII,Anna Nagar,NH,2011-2012,ACTUAL,0,0.00,yes,bb2013-14.pdf,54,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
IX,Teynampet,NJ,2011-2012,ACTUAL,0,0.00,yes,bb2013-14.pdf,55,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
X,Kodambakkam,NK,2011-2012,ACTUAL,0,0.00,yes,bb2013-14.pdf,56,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
XI,Valasaravakkam,NL,2011-2012,ACTUAL,10794,107.94,yes,bb2013-14.pdf,57,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
XII,Alandur,NM,2011-2012,ACTUAL,8677,86.77,yes,bb2013-14.pdf,58,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
XIII,Adyar,NN,2011-2012,ACTUAL,0,0.00,yes,bb2013-14.pdf,59,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
XIV,Perungudi,NP,2011-2012,ACTUAL,0,0.00,yes,bb2013-14.pdf,60,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
XV,Sholinganallur,NQ,2011-2012,ACTUAL,0,0.00,yes,bb2013-14.pdf,61,https://chennaicorporation.gov.in/budget/budgetImages/budget%202013-14.pdf
