book,page,zone,dp_code,account_head,year_cols,col1_actuals,col2_BE,col3_RE,col4_BE
bb2013-14.pdf,47,NA,412-10-09-00,SPECIFIC GRANTS - GoTN - CMCDM,2011-2012|2012-2013|2012-2013|2013-2014,,,,
bb2013-14.pdf,47,NA,412-40-02-00,OTHERS-PARKS AND GARDENS,2011-2012|2012-2013|2012-2013|2013-2014,,21000,12500,12500
bb2013-14.pdf,47,NA,412-40-07-02,OTHERS-CONCRETE ROADS-INTERIOR ROADS,2011-2012|2012-2013|2012-2013|2013-2014,,10000,10000,100000
bb2013-14.pdf,47,NA,412-40-08-02,OTHERS-BLACKTOPPED-INTERIOR ROADS,2011-2012|2012-2013|2012-2013|2013-2014,,50000,70000,50000
bb2013-14.pdf,47,NA,412-40-11-00,OTHERS-STORM WATER DRAINS AND CULVERTS,2011-2012|2012-2013|2012-2013|2013-2014,,10000,30000,40000
bb2013-14.pdf,47,NA,412-40-30-00,OTHERS- OTHER MISCELLANEOUS WORKS,2011-2012|2012-2013|2012-2013|2013-2014,780,20400,20000,30000
bb2013-14.pdf,48,NB,412-10-09-00,SPECIFIC GRANTS - GoTN - CMCDM,2011-2012|2012-2013|2012-2013|2013-2014,,,,
bb2013-14.pdf,48,NB,412-40-02-00,OTHERS-PARKS AND GARDENS,2011-2012|2012-2013|2012-2013|2013-2014,,18000,5000,7500
bb2013-14.pdf,48,NB,412-40-07-02,OTHERS-CONCRETE ROADS-INTERIOR ROADS,2011-2012|2012-2013|2012-2013|2013-2014,,50000,5000,2500
bb2013-14.pdf,48,NB,412-40-08-02,OTHERS-BLACKTOPPED-INTERIOR ROADS,2011-2012|2012-2013|2012-2013|2013-2014,,60000,120000,30000
bb2013-14.pdf,48,NB,412-40-11-00,OTHERS-STORM WATER DRAINS AND CULVERTS,2011-2012|2012-2013|2012-2013|2013-2014,,5000,6500,10000
bb2013-14.pdf,48,NB,412-40-30-00,OTHERS- OTHER MISCELLANEOUS WORKS,2011-2012|2012-2013|2012-2013|2013-2014,,10200,20000,25000
bb2013-14.pdf,49,NC,412-10-07-04,SPECIFIC GRANTS -JNNURM-BSUP-BUILDINGS,2011-2012|2012-2013|2012-2013|2013-2014,,,,
bb2013-14.pdf,49,NC,412-10-09-00,SPECIFIC GRANTS - GoTN - CMCDM,2011-2012|2012-2013|2012-2013|2013-2014,,,,
bb2013-14.pdf,49,NC,412-40-02-00,OTHERS-PARKS AND GARDENS,2011-2012|2012-2013|2012-2013|2013-2014,1723,45000,25000,50000
bb2013-14.pdf,49,NC,412-40-07-02,OTHERS-CONCRETE ROADS-INTERIOR ROADS,2011-2012|2012-2013|2012-2013|2013-2014,,20000,1000,0
