fy,code,prabhag,prabhag_sub,ward_col,amount_rs,provision_rs,work_name
2016-17,CE20E101/SF1-1,1,ब,1,2000000.0,2000000.0,प्रभाग क्र. १ ब (धानोरी) मधील विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-2,3,ब,3,2000000.0,2000000.0,प्रभाग क्र. ३ ब मधील विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-3,4,अ,4,2000000.0,2000000.0,"प्रभाग क्र. ४अ, मधील विविध ठिक़ाणी पावसाळी लाईन टाकणे."
2016-17,CE20E101/SF1-4,7,अ,7,2500000.0,2500000.0,प्र.क्र.७अ मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे व पावसाळी चेंबर्सची दुरुस्ती करणे.
2016-17,CE20E101/SF1-5,7,ब,7,1000000.0,1000000.0,"प्रभाग क्र. ७ ब मध्ये कोटकर लेन , एकतानगर पावसाळी लाईन टाकणे"
2016-17,CE20E101/SF1-6,9,ब,9,2000000.0,2000000.0,"प्रभाग क्र.९ब, बाणेर अॅन्जोर सोसायटी येथे पावसाळी लाईन टाकणे"
2016-17,CE20E101/SF1-7,10,अ,10,1000000.0,1000000.0,प्रभाग क्र.१० अ सुतारवाडी सुसरोड भागामध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-8,12,ब,12,1000000.0,1000000.0,प्रभाग क्र. १२ ब मध्ये फिरोदिया लेन मागील बाजूस पावसाळी लार्इन टाकणे
2016-17,CE20E101/SF1-9,13,ब,13,3000000.0,3000000.0,प्रभाग क्र. १३ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-10,17,अ,17,1000000.0,1000000.0,प्रभाग क्र १७ अ मधील विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-11,18,अ,18,1000000.0,1000000.0,प्र.क्र.१८अ मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे.
2016-17,CE20E101/SF1-12,22,अ,22,1500000.0,1500000.0,प्र.क्र. २२अ मध्ये विविध ठिकाणी पावसाळी लाईन खराब झालेले दुरूस्ती करणे व तदनुषंगीक कामे करणे.
2016-17,CE20E101/SF1-13,22,ब,22,1500000.0,1500000.0,प्रभाग क्र.२२ ब मध्ये पत्राचाळ येथे लेन क्र.१ च्या अलीकडून ते लेन क्र.१५ पर्यंतच्या मुख्य रस्त्यावर विविध ठिकाणी पावसाळी लाईन टाकणे व मुख्य नाल्यास जोडणे
2016-17,CE20E101/SF1-14,24,अ,24,1000000.0,1000000.0,प्र.क्र. २४ अ मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे.
2016-17,CE20E101/SF1-15,26,अ,26,1500000.0,1500000.0,प्रभाग क्र. २६ अ मध्ये झोपडपट्टीमध्ये विविध ठिकाणच्या पावसाळी लाईन बदलणे
2016-17,CE20E101/SF1-16,26,ब,26,3000000.0,3000000.0,प्रभाग क्र. २६ ब मधील विविध ठिकाणी मोठया व्यासाच्या पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-17,27,अ,27,2000000.0,2000000.0,प्रभाग क्र. २७ अ मध्ये जयभवानीनगर येथे पावसाळी गटर लाईन टाकणे
2016-17,CE20E101/SF1-18,29,अ,29,2500000.0,2500000.0,प्रभाग क्र. २९ अ मध्ये भुसारी कॉलनी येथे विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-19,29,अ,29,2500000.0,2500000.0,प्रभाग क्र. २९ अ मध्ये बावधन येथे विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-20,29,ब,29,2500000.0,2500000.0,प्रभाग क्र. २९ ब मध्ये पावसाळी लार्इन विकसित करणे
2016-17,CE20E101/SF1-21,30,अ,30,1500000.0,1500000.0,प्रभाग क्र.३० अ मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे.
