fy,sheet,row,code,account_code,list_no,seq,ward_col,work_name,project_cost_rs,provision_rs,prabhag_list,prabhag_nums,n_prabhag,prabhag_primary,prabhag_sub,ward_col_num,ward_col_sub
2016-17,CapitalListA,2487,CE20E101/F1-1,CE20E101,F1,1,,"पुणे शहरातील पावसाळी पाण्याच्या व्यवस्थापनासाठी नाला सुधारणा कामे, कल्व्हर्टस व पावसाळी लाईन टाकणे (पथ)",,20500000.0,[],[],0,,,,
2016-17,CapitalListA,2490,CE20E101/F1-2,CE20E101,F1,2,,नाला विकसित करणे,,245202000.0,[],[],0,,,,
2016-17,CapitalListA,2491,CE20E101/F1-3,CE20E101,F1,3,,कल्व्हर्ट बांधणे,,91293000.0,[],[],0,,,,
2016-17,CapitalListA,2492,CE20E101/F1-4,CE20E101,F1,4,,पावसाळी लाईन टाकणे,,136010000.0,[],[],0,,,,
2016-17,CapitalListA,2493,CE20E101/F1-5,CE20E101,F1,5,,"प्रकल्प व्यवस्थापन करणे, सल्लागार फी व तद्‌नुषंगिक कामे",,6995000.0,[],[],0,,,,
2016-17,CapitalListA,2522,CE20E101/SF1-1,CE20E101,SF1,1,1,प्रभाग क्र. १ ब (धानोरी) मधील विविध ठिकाणी पावसाळी लाईन टाकणे,,2000000.0,"[(1, 'ब')]",[1],1,1.0,ब,1.0,
2016-17,CapitalListA,2523,CE20E101/SF1-2,CE20E101,SF1,2,3,प्रभाग क्र. ३ ब मधील विविध ठिकाणी पावसाळी लाईन टाकणे,,2000000.0,"[(3, 'ब')]",[3],1,3.0,ब,3.0,
2016-17,CapitalListA,2524,CE20E101/SF1-3,CE20E101,SF1,3,4,"प्रभाग क्र. ४अ, मधील विविध ठिक़ाणी पावसाळी लाईन टाकणे.",,2000000.0,"[(4, 'अ')]",[4],1,4.0,अ,4.0,
2016-17,CapitalListA,2525,CE20E101/SF1-4,CE20E101,SF1,4,7,प्र.क्र.७अ मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे व पावसाळी चेंबर्सची दुरुस्ती करणे.,,2500000.0,"[(7, 'अ')]",[7],1,7.0,अ,7.0,
2016-17,CapitalListA,2526,CE20E101/SF1-5,CE20E101,SF1,5,7,"प्रभाग क्र. ७ ब मध्ये कोटकर लेन , एकतानगर पावसाळी लाईन टाकणे",,1000000.0,"[(7, 'ब')]",[7],1,7.0,ब,7.0,
2016-17,CapitalListA,2527,CE20E101/SF1-6,CE20E101,SF1,6,9,"प्रभाग क्र.९ब, बाणेर अॅन्जोर सोसायटी येथे पावसाळी लाईन टाकणे",,2000000.0,"[(9, 'ब')]",[9],1,9.0,ब,9.0,
2016-17,CapitalListA,2528,CE20E101/SF1-7,CE20E101,SF1,7,10,प्रभाग क्र.१० अ सुतारवाडी सुसरोड भागामध्ये विविध ठिकाणी पावसाळी लाईन टाकणे,,1000000.0,"[(10, 'अ')]",[10],1,10.0,अ,10.0,
2016-17,CapitalListA,2529,CE20E101/SF1-8,CE20E101,SF1,8,12,प्रभाग क्र. १२ ब मध्ये फिरोदिया लेन मागील बाजूस पावसाळी लार्इन टाकणे,,1000000.0,"[(12, 'ब')]",[12],1,12.0,ब,12.0,
2016-17,CapitalListA,2530,CE20E101/SF1-9,CE20E101,SF1,9,13,प्रभाग क्र. १३ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे,,3000000.0,"[(13, 'ब')]",[13],1,13.0,ब,13.0,
