fy,table,sheet,n_wardoffices,note
2016-17,WardOfficePlan,WardOfficePlan16,15,"CE20A176,CE20C118,CE22A114,FE14A118,ZE16A115,ZE16B113"
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,15,"RE14B301,RE20A301,RE20C301,RE22C301,XE12B301,XE23A301"
2016-17,CitizensPlan,CitizensPlan16,15,"CE20A1196,CE20C406,CE22A547,FE14A121,ZE16A117,ZE16B130"
2016-17,CitizensNonPlan,CitizensNonPlan16,15,"RE14B302,RE20A302,RE20C302,RE22C302,XE12B302,XE23A302"
2017-18,WardOfficePlan,WardOfficePlan1718,15,"CE20A176,CE20C118,CE22A114,FE14A118,ZE16A115,ZE16B113"
2017-18,WardOfficeNonPlan,WardOfficeNonPlan1718,15,"RE14B301,RE20A301,RE20C301,RE22C301,XE12B301,XE23A301"
2017-18,CitizensPlan,CitizensPlan1718,15,"CE20A1196,CE20C406,CE22A547,FE14A121,ZE16A117,ZE16B130"
2017-18,CitizensNonPlan,CitizensNonPlan1718,15,"RE14B302,RE20A302,RE20C302,RE22C302,XE12B302,XE23A302"
2018-19,WardOfficePlan,WardOfficePlan1819,15,"CE20A176,CE20C118,CE22A114,FE14A118,ZE16A115,ZE16B113"
2018-19,WardOfficeNonPlan,WardOfficeNonPlan1819,15,"RE14B301,RE20A301,RE20C301,RE22C301,XE12B301,XE23A301"
2018-19,CitizensPlan,CitizensPlan1819,15,"CE20A1196,CE20C406,CE22A547,FE14A121,ZE16A117,ZE16B130"
2018-19,CitizensNonPlan,CitizensNonPlan1819,15,"RE14B302,RE20A302,RE20C302,RE22C302,XE12B302,XE23A302"
2019-20,WardOfficePlan,WardOfficePlan1920,15,"CE20A176,CE20C118,CE22A114,FE14A118,ZE16A115,ZE16B113"
2019-20,WardOfficeNonPlan,WardOfficeNonPlan1920,15,"RE14B301,RE20A301,RE20C301,RE22C301,XE12B301,XE23A301"
2019-20,CitizensPlan,CitizensPlan1920,15,"CE20A1196,CE20C406,CE22A547,FE14A121,ZE16A117,ZE16B130"
2019-20,CitizensNonPlan,CitizensNonPlan1920,15,"RE14B302,RE20A302,RE20C302,RE22C302,XE12B302,XE23A302"
2020-21,WardOfficePlan,WardOfficePlan2021,15,"CE20A176,CE20C118,CE22A114,FE14A118,ZE16A115,ZE16B113"
2020-21,WardOfficeNonPlan,WardOfficeNonPlan2021,15,"RE14B301,RE20A301,RE20C301,RE22C301,XE12B301,XE23A301"
2020-21,CitizensPlan,CitizensPlan2021,15,"CE20A1196,CE20C406,CE22A547,FE14A121,ZE16A117,ZE16B130"
2020-21,CitizensNonPlan,CitizensNonPlan2021,15,"RE14B302,RE20A302,RE20C302,RE22C302,XE12B302,XE23A302"
2021-22,WardOfficePlan,WardOfficePlan2122,15,"CE20A176,CE20C118,CE22A114,FE14A118,ZE16A115,ZE16B113"
2021-22,WardOfficeNonPlan,WardOfficeNonPlan2122,15,"RE14B301,RE20A301,RE20C301,RE22C301,XE12B301,XE23A301"
2021-22,CitizensPlan,CitizensPlan2122,15,"CE20A1196,CE20C406,CE22A547,FE14A121,ZE16A117,ZE16B130"
2021-22,CitizensNonPlan,CitizensNonPlan2122,15,"RE14B302,RE20A302,RE20C302,RE22C302,XE12B302,XE23A302"
2022-23,WardOfficePlan,WardOfficePlan2223,15,"CE20A176,CE20C118,CE22A114,FE14A118,ZE16A115,ZE16B113"
2022-23,WardOfficeNonPlan,WardOfficeNonPlan2223,15,"RE14B301,RE20A301,RE20C301,RE22C301,XE12B301,XE23A301"
2022-23,CitizensPlan,CitizensPlan2223,15,"CE20A1196,CE20C406,CE22A547,FE14A121,ZE16A117,ZE16B130"
2022-23,CitizensNonPlan,CitizensNonPlan2223,15,"RE14B302,RE20A302,RE20C302,RE22C302,XE12B302,XE23A302"
2023-24,WardOfficePlan,WardOfficePlan2324,15,"CE20A176,CE20C118,CE22A114,FE14A118,ZE16A115,ZE16B113"
2023-24,WardOfficeNonPlan,WardOfficeNonPlan2324,15,"RE14B301,RE20A301,RE20C301,RE22C301,XE12B301,XE23A301"
2023-24,CitizensPlan,CitizensPlan2324,15,"CE20A1196,CE20C406,CE22A547,FE14A121,ZE16A117,ZE16B130"
2023-24,CitizensNonPlan,CitizensNonPlan2324,15,"RE14B302,RE20A302,RE20C302,RE22C302,XE12B302,XE23A302"
2024-25,WardOfficePlan,WardOfficePlan2425,15,"CE20A176,CE20C118,CE22A114,FE14A118,ZE16A115,ZE16B113"
2024-25,WardOfficeNonPlan,WardOfficeNonPlan2425,15,"RE14B301,RE20A301,RE20C301,RE22C301,XE12B301,XE23A301"
2024-25,CitizensPlan,CitizensPlan2425,15,"CE20A119,CE20C406,CE22A547,FE14A121,ZE16A117,ZE16B130"
2024-25,CitizensNonPlan,CitizensNonPlan2425,15,"RE14B302,RE20A302,RE20C302,RE22C302,XE12B302,XE23A302"
2025-26,WardOfficePlan,WardOfficePlan2526,15,"CE20A176,CE20C118,CE22A114,FE14A118,ZE16A115,ZE16B113"
2025-26,WardOfficeNonPlan,WardOfficeNonPlan2526,15,"RE14B301,RE20A301,RE20C301,RE22C301,XE12B301,XE23A301"
2025-26,CitizensPlan,CitizensPlan2526,15,"CE20A119,CE20C406,CE22A547,FE14A121,ZE16A117,ZE16B130"
2025-26,CitizensNonPlan,CitizensNonPlan2526,15,"RE14B302,RE20A302,RE20C302,RE22C302,XE12B302,XE23A302"
