fy,table,sheet,sr,col0_wardnumbers,ward_office,account_code,dept,amount_lakh
2016-17,WardOfficePlan,WardOfficePlan16,,,औंध क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,औंध क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,औंध क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,औंध क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,औंध क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,औंध क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कोथरूड क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,161.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कोथरूड क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,86.8
2016-17,WardOfficePlan,WardOfficePlan16,,,कोथरूड क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,42.7
2016-17,WardOfficePlan,WardOfficePlan16,,,कोथरूड क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,3.5
2016-17,WardOfficePlan,WardOfficePlan16,,,कोथरूड क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,कोथरूड क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,64.4
2016-17,WardOfficePlan,WardOfficePlan16,,,घोले रोड क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,घोले रोड क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,घोले रोड क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,घोले रोड क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,घोले रोड क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,घोले रोड क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,वारजे कर्वेनगर क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,161.0
2016-17,WardOfficePlan,WardOfficePlan16,,,वारजे कर्वेनगर क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,19.6
2016-17,WardOfficePlan,WardOfficePlan16,,,वारजे कर्वेनगर क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,14.0
2016-17,WardOfficePlan,WardOfficePlan16,,,वारजे कर्वेनगर क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,10.5
2016-17,WardOfficePlan,WardOfficePlan16,,,वारजे कर्वेनगर क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,वारजे कर्वेनगर क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,75.6
2016-17,WardOfficePlan,WardOfficePlan16,,,ढोलेपाटील रोड क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,ढोलेपाटील रोड क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,ढोलेपाटील रोड क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,ढोलेपाटील रोड क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,ढोलेपाटील रोड क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,ढोलेपाटील रोड क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,नगररोड क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,नगररोड क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,नगररोड क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,नगररोड क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,नगररोड क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,नगररोड क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,संगमवाडी क्षेत्रीय कार्यालय एकूण बेरीज,CE20A176,Roads,84.0
2016-17,WardOfficePlan,WardOfficePlan16,,,संगमवाडी क्षेत्रीय कार्यालय एकूण बेरीज,CE20C118,Electrical,38.5
2016-17,WardOfficePlan,WardOfficePlan16,,,संगमवाडी क्षेत्रीय कार्यालय एकूण बेरीज,CE22A114,Buildings,17.5
2016-17,WardOfficePlan,WardOfficePlan16,,,संगमवाडी क्षेत्रीय कार्यालय एकूण बेरीज,FE14A118,Slum,7.0
2016-17,WardOfficePlan,WardOfficePlan16,,,संगमवाडी क्षेत्रीय कार्यालय एकूण बेरीज,ZE16A115,WaterSupply,0.0
2016-17,WardOfficePlan,WardOfficePlan16,,,संगमवाडी क्षेत्रीय कार्यालय एकूण बेरीज,ZE16B113,Sewerage_foul,146.3
