pdf_page,functionary_code,functionary_name,gl_code,cost_centre,work_name,revised_est,budget_est
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600200,1000100000,HO - M.S. MS 50 cegK³eeue³e-ce.ve.Hee.meef®eJe,50,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600320,1000100000,HO - M.S. MS 300 cegK³eeue³e-ce.ve.Hee.meef®eJe,300,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600610,1000100000,HO - M.S. MS 100 100 cegK³eeue³e-ce.ve.Hee.meef®eJe,100,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,1000100000,HO - M.S. MS 25 25 cegK³eeue³e-ce.ve.Hee.meef®eJe,25,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,1000100000,HO - M.S. MS ... 100 cegK³eeue³e-ce.ve.Hee.meef®eJe,100,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700103,1000100000,HO - M.S. MS ... 100 cegK³eeue³e-ce.ve.Hee.meef®eJe,100,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700104,1000100000,HO - M.S. MS 50 cegK³eeue³e-ce.ve.Hee.meef®eJe,50,
7,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700201,1000100000,HO - M.S. MS 50 cegK³eeue³e-ce.ve.Hee.meef®eJe,50,
8,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600300,1000100000,HO - M.S. MS ... 300 cegK³eeue³e-ce.ve.Hee.meef®eJe,300,
8,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410600950,1000100000,HO - M.S. MS ... 25 cegK³eeue³e-ce.ve.Hee.meef®eJe,25,
8,10,Municipal Secretary keÀe³e& keÀjCeejs Keeles : ceneveiejHeeefuekeÀe meef®eJe,410700102,1000100000,HO - M.S. MS ... 25 cegK³eeue³e-ce.ve.Hee.meef®eJe,25,
