pdf_page,functionary_code,functionary_name,gl_code,cost_centre,work_name,revised_est,budget_est,book,ward,cc_type
255,33,STORM WATER DRAINS DEPARTMENT FUNCTIONARY CODE : 33,503300699,2001330000,1600000,1600000,1000000,BE 2024-25,,division
255,33,STORM WATER DRAINS DEPARTMENT FUNCTIONARY CODE : 33,503300699,2003330000,Division III - SWD (Eastern Suburbs) S.W.D. 1570000,1570000,550000,BE 2024-25,,division
255,33,STORM WATER DRAINS DEPARTMENT FUNCTIONARY CODE : 33,503300750,2001330000,Division I - SWD ( City) S.W.D. 1000000,1000000,1200000,BE 2024-25,,division
255,33,STORM WATER DRAINS DEPARTMENT FUNCTIONARY CODE : 33,503300750,2002330000,Division II - SWD (Western Suburbs) S.W.D. 4260000,4260000,2900000,BE 2024-25,,division
255,33,STORM WATER DRAINS DEPARTMENT FUNCTIONARY CODE : 33,503300750,2003330000,Division III - SWD (Eastern Suburbs) S.W.D. 1058000,1058000,230000,BE 2024-25,,division
257,33,STORM WATER DRAINS DEPARTMENT FUNCTIONARY CODE : 33,503300751,2001330000,Division I - SWD ( City) S.W.D. 20000,20000,360000,BE 2024-25,,division
257,33,STORM WATER DRAINS DEPARTMENT FUNCTIONARY CODE : 33,503300751,2002330000,Division II - SWD (Western Suburbs) S.W.D. 640000,640000,2901400,BE 2024-25,,division
257,33,STORM WATER DRAINS DEPARTMENT FUNCTIONARY CODE : 33,503300751,2003330000,Division III - SWD (Eastern Suburbs) S.W.D. 300000,300000,730000,BE 2024-25,,division
257,33,STORM WATER DRAINS DEPARTMENT FUNCTIONARY CODE : 33,503300756,2001330000,Division I - SWD ( City) S.W.D. ...,...,50000,BE 2024-25,,division
257,33,STORM WATER DRAINS DEPARTMENT FUNCTIONARY CODE : 33,503300756,2002330000,Division II - SWD (Western Suburbs) S.W.D. ...,...,100000,BE 2024-25,,division
