"Zone","Major Account ","Major Code","Minor Account","Minor Code","Account Head","D P Code","2012-13  Actuals","2013-14  Budget Estimates","2013-14 Revised Estimates","2013-14  Actuals","2014-15 Budget Estimates","2014-15 Revised Estimates","2015-16  Budget Estimates"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2011 - 2012)","412-10-09-00","365.02","4010.0","500.0","455.85","0.0","0.0","0.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2012 - 2013)","412-10-10-00","0.0","0.0","2200.0","1681.55","1600.0","2000.0","0.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2013 - 2014)","412-10-12-00","0.0","0.0","1100.0","0.0","1000.0","1300.0","0.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Mayor Special Development Fund Works","412-20-03-00","9.8","13.3","1.0","0.0","13.3","13.3","13.3"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Councillor Ward Improvement Fund Works","412-20-04-00","17.05","420.0","390.0","300.5","420.0","420.0","420.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","","40.0","Parks & Garden","412-40-02-00","40.7","125.0","50.0","52.69","100.0","15.0","0.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","","40.0","Noon Meals Shed","412-40-04-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","","40.0","Anganvadi Centers","412-40-04-06","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","","40.0","Amma Unavagam - Buildings","412-40-05-09","0.0","0.0","0.0","0.0","0.0","0.0","300.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","","40.0","Public Convenience","412-40-06-04","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","","40.0","Dhobikhana","412-40-06-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","","40.0","Gym Buildings","412-40-06-08","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","","40.0","Burial Ground Buildings","412-40-06-09","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","","40.0","Concrete Roads - Interior Roads","412-40-07-02","27.1","1000.0","100.0","87.8","500.0","60.0","1500.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","","40.0","Black Topped - Interior Roads","412-40-08-02","596.03","500.0","2000.0","1274.77","1500.0","1700.0","1500.0"
"Zone I - Thiruvottiyur","Capital Work -in - progress","412.0","","40.0","Storm Water Drains and Culverts","412-40-11-00","228.51","400.0","400.0","411.72","300.0","80.0","200.0"
