edition,division_file,zone,dept_code,function_code,dp_code,account_head,v1,v2,v3,v4
2020-21,2020-21_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-54-01-00,Storm Water Drains,3605,5000,6000,6000
2020-21,2020-21_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-54-03-00,Storm Water Drains-Desilting,1769,20000,63000,30000
2020-21,2020-21_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2020-21,2020-21_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-54-01-00,Storm Water Drains,1468,5000,2000,3000
2020-21,2020-21_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-54-03-00,Storm Water Drains-Desilting,1783,20000,56000,40000
2020-21,2020-21_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2020-21,2020-21_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-54-01-00,Storm Water Drains,7115,10000,11300,12000
2020-21,2020-21_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-54-03-00,Storm Water Drains-Desilting,20098,26000,30000,30000
2020-21,2020-21_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2020-21,2020-21_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-54-01-00,Storm Water Drains,7028,15000,20000,22000
2020-21,2020-21_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-54-03-00,Storm Water Drains-Desilting,5422,20000,80000,50000
2020-21,2020-21_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2020-21,2020-21_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-54-01-00,Storm Water Drains,14695,10000,13000,15000
2020-21,2020-21_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-54-03-00,Storm Water Drains-Desilting,16117,20000,62000,50000
2020-21,2020-21_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2020-21,2020-21_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-54-01-00,Storm Water Drains,825,2000,6000,5000
2020-21,2020-21_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-54-03-00,Storm Water Drains-Desilting,2122,3000,4500,5000
2020-21,2020-21_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2020-21,2020-21_N.txt,Zone-II MANALI,NB,20-21-07,230-54-01-00,Storm Water Drains,1483,3000,3000,3000
