test,spec,pct,p
threshold,share within 5 m  [headline],-7.820715289469826,0.016229325744017815
threshold,mean HAND (no threshold),-13.595981822430591,0.0006933706982552908
threshold,topographic wetness index,-7.432140249520125,0.05594217590495699
threshold,share within 1 m,-6.825084521826419,0.02140968292780419
threshold,share within 2 m,-6.6638384174592,0.03129613820514323
threshold,share within 3 m,-6.42683432534098,0.0396660373364947
threshold,share within 10 m,-11.154137640164496,0.0014483494054801417
population,full controls  [headline],-7.820715289469826,0.016229325744017815
population,population DROPPED,-7.953812764911195,0.01414504937955059
population,built-up area instead of pop,-7.523152637317176,0.018419516679351353
population,no controls at all,-11.065481511907993,4.9183292923198027e-05
council,full panel FY2013-2022,-7.820715289469826,0.016229325744017815
council,council existed: FY2013-2020,-7.538421803887219,0.012847924786486137
council,no council: FY2021-2022,-9.242030319403172,0.33160644518519833
