outcome,spec,beta,se,p,n,wards
log_total,"contemporaneous, ward + year FE",-0.10406479245766491,0.05841293072810706,0.07482477971290555,1722,198
log_total,"lagged one year, ward + year FE",-0.12225145284736588,0.05320147354008429,0.021567709434582447,1536,198
log_total,"annual mm, ward + year FE",-0.8790225153202034,0.22464050284936163,9.114942787188457e-05,1722,198
log_total,"annual mm lagged, ward + year FE",0.07540066517262778,0.2888080918740436,0.7940344231681267,1536,198
log_storm,"contemporaneous, ward + year FE",-0.04145763837666912,0.07745942103397059,0.5924994603062741,1722,198
log_storm,"lagged one year, ward + year FE",-0.12199302104141146,0.07084380275033025,0.08506953714697367,1536,198
log_storm,"annual mm, ward + year FE",-0.9155477614961043,0.2642895811574215,0.0005318424183654334,1722,198
log_storm,"annual mm lagged, ward + year FE",-0.23635981186006738,0.3664480747151527,0.5189257644750824,1536,198
storm_share,"contemporaneous, ward + year FE",1.1778197863208395,1.4758775708185732,0.424843169451249,1722,198
storm_share,"lagged one year, ward + year FE",-0.24853825533565965,1.440056272680435,0.8629742896439605,1536,198
storm_share,"annual mm, ward + year FE",-1.3132386030348826,5.72932555669915,0.8187030021646956,1722,198
storm_share,"annual mm lagged, ward + year FE",-11.526122333765567,7.672433894822473,0.13302554029574237,1536,198
