zone,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
HQ,,,,10.18,,,
West,197.64,203.71,64.26,734.86,191.66,203.86,351.0
Central,75.16,35.33,93.0,248.4,245.16,115.31,202.0
North,390.95,468.61,113.27,223.43,269.6,300.04,388.22
East-A,302.9,36.39,23.92,248.01,351.6,62.44,33.22
East-B,,104.65,49.77,96.96,333.67,69.33,2804.81
South,145.37,64.24,,,,,
South-A,,64.24,103.15,239.42,1072.89,991.27,1197.27
South-B,,,,,506.58,350.17,1319.72
South-East,219.8,285.75,265.19,276.87,267.23,242.7,276.61
South-West,87.69,194.19,43.54,232.15,163.86,547.16,918.78
