file,sch,zone,page,centre,proj_head,acct,src,act_y3,act_y2,orig_y1,rev_y1,est_comm,est_standing,est_corp
bb2021-22.txt,5.1.6,East-B,463,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-421,5682,KP,,104.65,61.23,9.00,69.68,69.68,69.68
bb2021-22.txt,5.1.6,East-B,463,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-616,5682,GrantP,,,,,100.00,100.00,100.00
bb2021-22.txt,5.1.6,East-B,463,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-816,5682,GrantP,,,,46.66,120.00,120.00,120.00
bb2021-22.txt,5.1.1,HQ,429,,C-467,5682,KP,,,2.00,,1.00,1.00,1.00
bb2021-22.txt,5.1.2,West,435,,C-289,5682,KP,12.13,,,,,,
bb2021-22.txt,5.1.2,West,436,,C-387,5682,KP,,,,15.00,27.00,27.00,27.00
bb2021-22.txt,5.1.2,West,436,,C-419,5682,KP,5.26,,,,,,
bb2021-22.txt,5.1.2,West,436,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-419,5682,KP,180.25,203.71,630.00,109.53,150.00,150.00,150.00
bb2021-22.txt,5.1.2,West,436,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-616,5682,GrantP,,,,150.00,920.00,920.00,920.00
bb2021-22.txt,5.1.3,Central,443,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-419,5682,RevP,75.16,35.33,180.00,100.00,285.00,285.00,285.00
bb2021-22.txt,5.1.4,North,449,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-419,5682,KP,390.95,468.61,170.00,170.00,139.00,139.00,139.00
bb2021-22.txt,5.1.4,North,449,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-616,5682,KP,,,,5.00,10.00,10.00,10.00
bb2021-22.txt,5.1.4,North,449,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-816,5682,GrantP,,,,,100.00,100.00,100.00
bb2021-22.txt,5.1.5,East-A,456,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-421,5682,KP,302.90,36.39,1165.00,79.00,622.00,622.00,622.00
bb2021-22.txt,5.1.5,East-A,456,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-816,5682,GrantP,,,,110.00,200.00,200.00,200.00
bb2021-22.txt,5.1.7,South,469,,C-419,5682,KP,4.88,,,,,,
bb2021-22.txt,5.1.7,South,469,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-419,5682,KP,140.49,64.24,150.00,140.00,325.00,325.00,325.00
bb2021-22.txt,5.1.7,South,469,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-810,5682,GrantP,,,115.00,10.00,100.00,100.00,100.00
bb2021-22.txt,5.1.8,South-East,476,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-419,5682,KP,219.80,285.75,517.00,330.00,250.00,250.00,250.00
bb2021-22.txt,5.1.9,South-West,482,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-419,5682,RevP,87.69,194.19,500.00,130.00,310.00,310.00,310.00
bb2021-22.txt,5.1.9,South-West,482,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-805,5682,RevP,,,1.00,,,,
bb2021-22.txt,5.1.9,South-West,482,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-816,5682,GrantP,,,,10.00,250.00,250.00,250.00
bb2022-23.txt,5.1.1,HQ,477,,,5682,KP,,,1.00,0.60,1.00,1.00,1.00
bb2022-23.txt,5.1.2,West,484,,C-387,5682,KP,,,27.00,25.20,30.00,30.00,30.00
bb2022-23.txt,5.1.2,West,484,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-419,5682,KP,203.71,64.26,150.00,35.90,170.00,170.00,170.00
bb2022-23.txt,5.1.2,West,484,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-616,5682,KP,,,,700.00,400.00,400.00,400.00
bb2022-23.txt,5.1.2,West,484,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-818,5682,GrantP,,,,84.00,,,
bb2022-23.txt,5.1.2,West,484,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-822,5682,KP,,,,,100.00,100.00,100.00
bb2022-23.txt,5.1.3,Central,491,"65/03 :8=MD"" JM8Z 0L:5Mh, lJEFU",C-419,5682,RevP,35.33,93.00,285.00,240.00,100.00,100.00,100.00
