book,zone,fy,measure,rs_lakh
SMC Budget Book 2021-22,East-B,2019-20,actual,104.65
SMC Budget Book 2021-22,East-B,2020-21,orig_budget,61.23
SMC Budget Book 2021-22,East-B,2020-21,revised,55.66
SMC Budget Book 2021-22,East-B,2021-22,est_commissioner,289.68
SMC Budget Book 2021-22,East-B,2021-22,est_standing,289.68
SMC Budget Book 2021-22,East-B,2021-22,est_corporation_final,289.68
SMC Budget Book 2021-22,HQ,2020-21,orig_budget,2.0
SMC Budget Book 2021-22,HQ,2021-22,est_commissioner,1.0
SMC Budget Book 2021-22,HQ,2021-22,est_standing,1.0
SMC Budget Book 2021-22,HQ,2021-22,est_corporation_final,1.0
SMC Budget Book 2021-22,West,2018-19,actual,197.64
SMC Budget Book 2021-22,West,2020-21,revised,274.53
SMC Budget Book 2021-22,West,2021-22,est_commissioner,1097.0
SMC Budget Book 2021-22,West,2021-22,est_standing,1097.0
SMC Budget Book 2021-22,West,2021-22,est_corporation_final,1097.0
SMC Budget Book 2021-22,West,2019-20,actual,203.71
SMC Budget Book 2021-22,West,2020-21,orig_budget,630.0
SMC Budget Book 2021-22,Central,2018-19,actual,75.16
SMC Budget Book 2021-22,Central,2019-20,actual,35.33
SMC Budget Book 2021-22,Central,2020-21,orig_budget,180.0
SMC Budget Book 2021-22,Central,2020-21,revised,100.0
SMC Budget Book 2021-22,Central,2021-22,est_commissioner,285.0
SMC Budget Book 2021-22,Central,2021-22,est_standing,285.0
SMC Budget Book 2021-22,Central,2021-22,est_corporation_final,285.0
SMC Budget Book 2021-22,North,2018-19,actual,390.95
SMC Budget Book 2021-22,North,2019-20,actual,468.61
SMC Budget Book 2021-22,North,2020-21,orig_budget,170.0
SMC Budget Book 2021-22,North,2020-21,revised,175.0
SMC Budget Book 2021-22,North,2021-22,est_commissioner,249.0
SMC Budget Book 2021-22,North,2021-22,est_standing,249.0
SMC Budget Book 2021-22,North,2021-22,est_corporation_final,249.0
SMC Budget Book 2021-22,East-A,2018-19,actual,302.9
SMC Budget Book 2021-22,East-A,2019-20,actual,36.39
SMC Budget Book 2021-22,East-A,2020-21,orig_budget,1165.0
SMC Budget Book 2021-22,East-A,2020-21,revised,189.0
SMC Budget Book 2021-22,East-A,2021-22,est_commissioner,822.0
SMC Budget Book 2021-22,East-A,2021-22,est_standing,822.0
SMC Budget Book 2021-22,East-A,2021-22,est_corporation_final,822.0
SMC Budget Book 2021-22,South,2018-19,actual,145.37
SMC Budget Book 2021-22,South,2019-20,actual,64.24
SMC Budget Book 2021-22,South,2020-21,orig_budget,265.0
SMC Budget Book 2021-22,South,2020-21,revised,150.0
SMC Budget Book 2021-22,South,2021-22,est_commissioner,425.0
SMC Budget Book 2021-22,South,2021-22,est_standing,425.0
SMC Budget Book 2021-22,South,2021-22,est_corporation_final,425.0
SMC Budget Book 2021-22,South-East,2018-19,actual,219.8
SMC Budget Book 2021-22,South-East,2019-20,actual,285.75
SMC Budget Book 2021-22,South-East,2020-21,orig_budget,517.0
SMC Budget Book 2021-22,South-East,2020-21,revised,330.0
SMC Budget Book 2021-22,South-East,2021-22,est_commissioner,250.0
SMC Budget Book 2021-22,South-East,2021-22,est_standing,250.0
SMC Budget Book 2021-22,South-East,2021-22,est_corporation_final,250.0
SMC Budget Book 2021-22,South-West,2018-19,actual,87.69
SMC Budget Book 2021-22,South-West,2019-20,actual,194.19
SMC Budget Book 2021-22,South-West,2020-21,orig_budget,501.0
SMC Budget Book 2021-22,South-West,2020-21,revised,140.0
SMC Budget Book 2021-22,South-West,2021-22,est_commissioner,560.0
SMC Budget Book 2021-22,South-West,2021-22,est_standing,560.0
SMC Budget Book 2021-22,South-West,2021-22,est_corporation_final,560.0
SMC Budget Book 2022-23,HQ,2021-22,orig_budget,1.0
SMC Budget Book 2022-23,HQ,2021-22,revised,0.6
SMC Budget Book 2022-23,HQ,2022-23,est_commissioner,1.0
SMC Budget Book 2022-23,HQ,2022-23,est_standing,1.0
SMC Budget Book 2022-23,HQ,2022-23,est_corporation_final,1.0
SMC Budget Book 2022-23,West,2021-22,orig_budget,177.0
SMC Budget Book 2022-23,West,2021-22,revised,845.1
SMC Budget Book 2022-23,West,2022-23,est_commissioner,700.0
SMC Budget Book 2022-23,West,2022-23,est_standing,700.0
SMC Budget Book 2022-23,West,2022-23,est_corporation_final,700.0
SMC Budget Book 2022-23,West,2019-20,actual,203.71
SMC Budget Book 2022-23,West,2020-21,actual,64.26
SMC Budget Book 2022-23,Central,2019-20,actual,35.33
SMC Budget Book 2022-23,Central,2020-21,actual,93.0
